State,Gang involvement,Drug involvement,Domestic Violence,Armed robbery,Officer Involved Incident,Home Invasion,Car-jacking,Negligent Discharge,suicide,Child Involved,Pistol-whipping,Defensive Use,Accidental Shooting,No Injuries,Murder,Road rage,Animal shot,Drive-by,Police Targeted,School Incident,Hate crime,Terrorism Involvement,Assault weapon,Mass Shooting
Mississippi,6,57,158,279,201,244,51,102,1079,47,40,110,288,568,45,17,5,106,3,43,1,0,25,28
New York,235,1063,288,713,485,840,85,199,1589,40,271,178,472,1239,72,58,41,379,18,82,8,2,92,78
Florida,101,1005,782,1304,1071,1600,342,397,3405,139,340,659,992,2811,226,254,47,914,31,238,9,1,210,116
Washington,182,341,250,233,404,386,67,115,758,10,62,179,298,663,76,51,19,359,4,52,6,1,50,19
South Carolina,33,463,368,636,334,822,82,183,1485,65,170,236,490,1294,62,52,24,351,4,123,2,0,63,36
Arizona,28,109,142,137,393,228,46,117,971,28,20,138,280,210,71,39,6,129,25,30,1,0,12,20
Kentucky,11,288,283,389,316,508,54,149,948,33,53,158,378,735,70,24,18,152,9,78,0,0,28,23
New Jersey,45,698,107,454,254,182,95,73,1101,20,67,35,196,646,47,11,10,157,9,26,0,2,61,47
Virginia,43,207,274,546,353,566,108,141,1336,58,58,104,412,791,82,39,18,235,2,104,2,1,22,42
Wisconsin,47,328,202,505,286,248,94,149,802,39,59,116,366,1030,46,49,18,226,9,52,2,1,22,10
Rhode Island,62,140,25,56,42,112,11,7,62,0,25,17,14,222,5,5,8,88,2,7,0,0,14,4
Texas,154,841,792,1496,1432,1300,341,450,4387,176,230,753,1196,1648,315,192,32,744,77,178,9,1,107,97
Alabama,7,120,303,479,303,432,87,129,1718,67,60,224,382,597,78,24,4,101,7,81,0,0,30,35
Kansas,36,154,82,143,188,248,54,116,497,22,38,68,270,431,20,22,10,195,6,33,3,0,7,15
Connecticut,57,480,101,248,132,250,61,69,333,7,65,72,170,552,21,39,13,164,4,26,2,0,29,15
West Virginia,1,169,155,123,134,212,11,46,311,12,22,69,154,295,21,4,5,50,4,25,1,1,10,3
Minnesota,44,181,87,164,184,166,30,83,411,17,34,54,208,577,35,29,6,138,4,32,3,1,15,17
Nevada,61,84,130,161,232,152,32,49,715,15,24,118,114,264,43,30,6,106,13,18,1,0,5,10
Nebraska,18,160,52,151,93,208,52,69,220,6,37,35,152,248,12,18,3,137,1,21,0,0,15,4
Massachusetts,165,978,120,327,230,570,67,71,463,11,147,78,166,1492,15,60,12,315,6,41,1,0,49,13
Hawaii,2,21,17,24,50,22,15,11,58,1,3,5,26,53,3,6,2,15,6,3,0,0,2,0
New Hampshire,6,145,64,65,105,96,2,42,95,2,20,35,94,213,9,37,7,22,2,10,0,0,13,0
Iowa,39,280,77,172,152,244,12,103,277,13,51,52,234,821,14,16,6,167,3,32,0,0,28,4
Alaska,4,116,113,52,115,146,20,57,250,14,24,61,130,223,13,6,4,45,8,7,0,0,9,1
Arkansas,6,93,113,229,179,248,50,80,701,30,48,87,234,476,49,15,5,110,6,45,0,0,18,11
Idaho,14,88,46,29,104,72,6,56,150,12,6,29,130,125,16,12,5,19,4,10,0,0,13,0
Oregon,305,243,143,125,227,202,28,84,396,17,25,93,222,591,44,22,12,138,7,22,2,1,24,6
Wyoming,0,19,24,6,31,10,2,23,65,3,3,12,48,294,7,3,3,5,0,4,0,0,9,0
Maine,0,131,113,39,118,110,1,38,98,3,11,33,96,193,12,12,3,17,0,4,1,0,7,2
North Dakota,2,79,26,23,56,58,2,57,66,5,11,18,124,159,6,4,0,20,0,4,0,0,9,0
Montana,1,55,64,17,73,36,5,44,123,5,7,25,104,140,18,18,10,21,3,8,0,0,8,2
Vermont,2,67,42,41,37,68,2,29,55,2,14,16,74,92,5,7,4,12,0,5,0,0,4,1
South Dakota,0,89,20,26,57,46,4,48,83,4,12,8,110,179,8,6,4,15,1,6,0,1,5,2
